Rotacion;Intron;Ref_mapeo;Ref_anotacion;Pos_mapeo;Pos_anotacion;CIGAR;Hit
rotation0;>CR31986;NT_033779.5;NT_033779.5;2459959;2460007;21S27M;yes
rotation1;>CR31986;NT_033779.5;NT_033779.5;2459959;2460007;20S28M;yes
rotation2;>CR31986;NT_033779.5;NT_033779.5;2459959;2460007;19S29M;yes
rotation3;>CR31986;NT_033779.5;NT_033779.5;2459959;2460007;18S30M;yes
rotation4;>CR31986;NT_033779.5;NT_033779.5;2459959;2460007;17S31M;yes
rotation5;>CR31986;NT_033779.5;NT_033779.5;2459959;2460007;16S32M;yes
rotation6;>CR31986;NT_033779.5;NT_033779.5;2459959;2460007;15S33M;yes
rotation7;>CR31986;NT_033779.5;NT_033779.5;2459959;2460007;14S34M;yes
rotation8;>CR31986;NT_033779.5;NT_033779.5;2459959;2460007;13S35M;yes
rotation9;>CR31986;NT_033779.5;NT_033779.5;2459959;2460007;12S36M;yes
rotation10;>CR31986;NT_033779.5;NT_033779.5;2459959;2460007;11S37M;yes
rotation11;>CR31986;NT_033779.5;NT_033779.5;2459959;2460007;10S38M;yes
rotation12;>CR31986;NT_033779.5;NT_033779.5;2459959;2460007;9S39M;yes
rotation13;>CR31986;NT_033779.5;NT_033779.5;2459959;2460007;8S40M;yes
rotation14;>CR31986;NT_033779.5;NT_033779.5;2459959;2460007;7S41M;yes
rotation15;>CR31986;NT_033779.5;NT_033779.5;2459959;2460007;6S42M;yes
rotation16;>CR31986;NT_033779.5;NT_033779.5;2459959;2460007;5S43M;yes
rotation17;>CR31986;NT_033779.5;NT_033779.5;2459959;2460007;4S44M;yes
rotation18;>CR31986;NT_033779.5;NT_033779.5;2459959;2460007;3S45M;yes
rotation19;>CR31986;NT_033779.5;NT_033779.5;2459959;2460007;2S46M;yes
rotation20;>CR31986;NT_033779.5;NT_033779.5;2459959;2460007;1S47M;yes
rotation21;>CR31986;NT_033779.5;NT_033779.5;2459959;2460007;48M;yes
rotation22;>CR31986;NT_033779.5;NT_033779.5;2459960;2460007;48M;yes
rotation23;>CR31986;NT_033779.5;NT_033779.5;2459961;2460007;47M1S;yes
rotation24;>CR31986;NT_033779.5;NT_033779.5;2459962;2460007;46M2S;yes
rotation25;>CR31986;NT_033779.5;NT_033779.5;2459963;2460007;45M3S;yes
rotation26;>CR31986;NT_033779.5;NT_033779.5;2459964;2460007;44M4S;yes
rotation27;>CR31986;NT_033779.5;NT_033779.5;2459965;2460007;43M5S;yes
rotation28;>CR31986;NT_033779.5;NT_033779.5;2459966;2460007;42M6S;yes
rotation29;>CR31986;NT_033779.5;NT_033779.5;2459967;2460007;41M7S;yes
rotation30;>CR31986;NT_033779.5;NT_033779.5;2459968;2460007;40M8S;yes
rotation31;>CR31986;NT_033779.5;NT_033779.5;2459969;2460007;39M9S;yes
rotation32;>CR31986;NT_033779.5;NT_033779.5;2459970;2460007;38M10S;yes
rotation33;>CR31986;NT_033779.5;NT_033779.5;2459971;2460007;37M11S;yes
rotation34;>CR31986;NT_033779.5;NT_033779.5;2459972;2460007;36M12S;yes
rotation35;>CR31986;NT_033779.5;NT_033779.5;2459973;2460007;35M13S;yes
rotation36;>CR31986;NT_033779.5;NT_033779.5;2459974;2460007;34M14S;yes
rotation37;>CR31986;NT_033779.5;NT_033779.5;2459975;2460007;33M15S;yes
rotation38;>CR31986;NT_033779.5;NT_033779.5;2459976;2460007;32M16S;yes
rotation39;>CR31986;NT_033779.5;NT_033779.5;2459977;2460007;31M17S;yes
rotation40;>CR31986;NT_033779.5;NT_033779.5;2459978;2460007;30M18S;yes
rotation41;>CR31986;NT_033779.5;NT_033779.5;2459979;2460007;29M19S;yes
rotation41;>CR31986;NT_033779.5;NT_033779.5;2459959;2460007;28S20M;yes
rotation42;>CR31986;NT_033779.5;NT_033779.5;2459980;2460007;28M20S;yes
rotation42;>CR31986;NT_033779.5;NT_033779.5;2459959;2460007;27S21M;yes
rotation43;>CR31986;NT_033779.5;NT_033779.5;2459981;2460007;27M21S;yes
rotation43;>CR31986;NT_033779.5;NT_033779.5;2459959;2460007;26S22M;yes
rotation44;>CR31986;NT_033779.5;NT_033779.5;2459982;2460007;26M22S;yes
rotation44;>CR31986;NT_033779.5;NT_033779.5;2459959;2460007;25S23M;yes
rotation45;>CR31986;NT_033779.5;NT_033779.5;2459983;2460007;25M23S;yes
rotation45;>CR31986;NT_033779.5;NT_033779.5;2459959;2460007;24S24M;yes
